Timestamp,Buildid,Cellname,Productarticlenumber,Lost Time in minutes,Linename,Product_expectedbuildtime,Actual_buildtime_step,Process_losttime,Interferencecomment,Interferencecategorymain,Interferencecategorysub,Productname
2023-06-12T10:43:48.814-07:00,455431,Housing Assembly,5370-169-214,0.549978,Model Value Stream,360,393,33,Forgot to validate ,Operator Error/Mistake,,5370-169-214_BK EM-180-20 90V GEN2
2023-06-12T06:02:06.769-07:00,442595,Housing Assembly,5370-273-208,0,Model Value Stream,600,567,0,,,,5370-273-208_C/B UM-100-1020 24V GEN2
2023-06-12T07:40:51.107-07:00,442905,Housing Assembly,5370-273-213,0,Model Value Stream,600,533,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T08:37:53.960-07:00,448824,Housing Assembly,5370-273-214,0,Model Value Stream,600,523,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:56:43.174-07:00,449080,Housing Assembly,5370-273-214,0,Model Value Stream,600,516,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T04:50:44.523-07:00,424835,Housing Assembly,5370-273-323,0,Model Value Stream,600,496,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T04:24:16.689-07:00,435864,Housing Assembly,5370-273-323,0,Model Value Stream,600,578,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T04:58:44.091-07:00,441258,Housing Assembly,5370-273-323,0,Model Value Stream,600,473,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T10:51:48.951-07:00,455431,Final Assembly,5370-169-214,0,Model Value Stream,360,83,0,,,,5370-169-214_BK EM-180-20 90V GEN2
2023-06-12T10:44:31.231-07:00,456946,Final Assembly,5370-169-214,0,Model Value Stream,360,139,0,,,,5370-169-214_BK EM-180-20 90V GEN2
2023-06-12T07:36:11.592-07:00,445211,Final Assembly,5370-273-213,0,Model Value Stream,600,211,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T07:53:00.882-07:00,446005,Final Assembly,5370-273-213,0,Model Value Stream,600,2,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T08:33:36.427-07:00,449151,Final Assembly,5370-273-214,0,Model Value Stream,600,255,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:10:20.974-07:00,449153,Final Assembly,5370-273-214,0,Model Value Stream,600,204,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T04:54:25.478-07:00,424835,Final Assembly,5370-273-323,0,Model Value Stream,600,195,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T04:30:30.529-07:00,435864,Final Assembly,5370-273-323,0,Model Value Stream,600,240,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T05:02:52.750-07:00,441258,Final Assembly,5370-273-323,0,Model Value Stream,600,221,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T07:54:17.039-07:00,442905,Burnish and Inspection,5370-273-213,0,Model Value Stream,600,379,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T07:46:55.303-07:00,445211,Burnish and Inspection,5370-273-213,0,Model Value Stream,600,473,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T07:21:37.578-07:00,445994,Burnish and Inspection,5370-273-213,0,Model Value Stream,600,486,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T09:18:27.475-07:00,449080,Burnish and Inspection,5370-273-214,5.616442,Model Value Stream,600,937,337,Wait for housing- op out of cell ,Punctuality/Attendance ,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T09:02:41.239-07:00,449082,Burnish and Inspection,5370-273-214,0,Model Value Stream,600,453,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:23:59.231-07:00,449153,Burnish and Inspection,5370-273-214,0,Model Value Stream,600,4,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:11:44.740-07:00,449331,Burnish and Inspection,5370-273-214,0,Model Value Stream,600,54,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T04:56:18.126-07:00,435550,Burnish and Inspection,5370-273-323,0,Model Value Stream,600,451,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T05:40:32.754-07:00,439021,Burnish and Inspection,5370-273-323,0,Model Value Stream,600,458,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T05:58:43.252-07:00,442204,Burnish and Inspection,5370-273-323,0,Model Value Stream,600,495,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T06:53:23.141-07:00,442503,Pack Station,5370-273-208,0,Model Value Stream,600,58,0,,,,5370-273-208_C/B UM-100-1020 24V GEN2
2023-06-12T06:09:03.361-07:00,442557,Pack Station,5370-273-208,0,Model Value Stream,600,95,0,,,,5370-273-208_C/B UM-100-1020 24V GEN2
2023-06-12T06:18:18.382-07:00,442595,Pack Station,5370-273-208,0,Model Value Stream,600,150,0,,,,5370-273-208_C/B UM-100-1020 24V GEN2
2023-06-12T07:56:16.948-07:00,442905,Pack Station,5370-273-213,0,Model Value Stream,600,114,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T07:24:10.621-07:00,445994,Pack Station,5370-273-213,0,Model Value Stream,600,149,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T08:45:22.627-07:00,449151,Pack Station,5370-273-214,0,Model Value Stream,600,107,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:13:57.791-07:00,449331,Pack Station,5370-273-214,0,Model Value Stream,600,128,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T05:06:18.749-07:00,424835,Pack Station,5370-273-323,0,Model Value Stream,600,163,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T04:49:50.668-07:00,435060,Pack Station,5370-273-323,0,Model Value Stream,600,108,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
